{{Mod
|id                               = StarterPassiveJewelUnique__9_
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = StarterPassiveJewel
|mod_type                         = StarterPassiveJewel9
|game_mode                        = 0
|stat_text                        = While your [[Passive skill|Passive Skill]] Tree connects to the Duelist's starting location, you gain:<br />+0.2 metres to Melee Strike Range
|stat1_id                         = local_unique_jewel_melee_range_+_with_passive_tree_connected_to_duelist_start
|stat1_min                        = 2
|stat1_max                        = 2
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
