{{Passive skill
|id                                  = swagger1090
|int_id                              = -31811
|name                                = Swagger
|is_notable                          = True
|icon                                = swagger
|stat1_id                            = chance_to_gain_frenzy_charge_on_block_%
|stat1_value                         = 25
|stat2_id                            = block_while_dual_wielding_%
|stat2_value                         = 8
|stat_text                           = 25% chance to gain a [[Frenzy Charge]] when you [[Block]]<br>+8% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]]
}}
