{{Mod
|id                               = TinctureIncreasedAilmentDuration3
|domain                           = 34
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Savage
|mod_groups                       = IncreasedAilmentDuration
|mod_type                         = TinctureIncreasedAilmentDuration
|game_mode                        = 0
|stat_text                        = (46-55)% increased Duration of Elemental Ailments from Melee Weapon [[Attack|Attacks]]
|stat1_id                         = elemental_ailment_duration_+%_with_tinctured_weapons
|stat1_min                        = 46
|stat1_max                        = 55
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 700
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental, attack, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
