{{Base item
|rarity_id                               = normal
|name                                    = The Shieldbearer
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = While you grow, I shall be your knight, and you my squire. One day, you shall be the one who stands and defends our home.
|drop_level                              = 70
|tags                                    = armour_divination, unique_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheShieldbearer
|stack_size                              = 8
|description                             = {{c|unique|{{il|html=|The Squire}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
