{{Mod
|id                               = WeaponElementalPenetrationUnique__1
|mod_groups                       = WeaponElementalPenetration
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = WeaponElementalPenetration
|stat_text                        = Damage with Weapons Penetrates 5% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = reduce_enemy_elemental_resistance_with_weapons_%
|stat1_min                        = 5
|stat1_max                        = 5
|tags                             = elemental_damage, damage, elemental, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
