{{Mod
|id                               = FlaskChargesUniqueJewel___8
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = BeltFlaskCharges
|mod_type                         = FlaskChargesUnique
|game_mode                        = 0
|stat_text                        = 20% reduced [[Flask]] [[Charge|Charges]] gained
|stat1_id                         = charges_gained_+%
|stat1_min                        = -20
|stat1_max                        = -20
|tags                             = flask
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
