{{Passive skill
|id                                  = AscendancyCustomAscendant40
|int_id                              = 22636
|name                                = Sinvicta's Mettle
|ascendancy_class                    = Ascendant
|is_multiple_choice_option           = True
|icon                                = BluntInstrument
|stat1_id                            = add_frenzy_charge_every_50_rampage_stacks
|stat1_value                         = 1
|stat2_id                            = area_of_effect_+%_per_25_rampage_stacks
|stat2_value                         = 2
|stat3_id                            = player_gain_rampage_stacks
|stat3_value                         = 1
|stat_text                           = Gain a [[Frenzy Charge]] on every 50th [[Rampage]] [[Kill]]<br>2% increased Area of Effect per 25 [[Rampage]] [[Kill|Kills]]<br>[[Rampage]]
}}
