{{Mod
|id                               = AdrenalineOnKillUnique__1
|mod_groups                       = AdrenalineOnKill
|domain                           = 1
|generation_type                  = 3
|required_level                   = 38
|mod_type                         = AdrenalineOnKill
|stat_text                        = Gain Adrenaline for (1-3) seconds on [[Kill|kill]]
|stat1_id                         = gain_adrenaline_for_X_seconds_on_kill
|stat1_min                        = 1
|stat1_max                        = 3
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
