{{Mod
|id                               = ViperStrikeThresholdJewel__1
|mod_groups                       = PassiveJewelGrantsRadius
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ViperStrikeThresholdJewel
|stat_text                        = With at least 40 [[Dexterity]] in Radius, [[Viper Strike]] deals 2% increased Damage with [[Hit|Hits]] and [[Poison]] for each [[Poison]] on the Enemy
|stat1_id                         = local_unique_jewel_viper_strike_attack_damage_per_poison_on_enemy_+%_with_50_dexterity_in_radius
|stat1_min                        = 2
|stat1_max                        = 2
|stat2_id                         = local_jewel_effect_base_radius
|stat2_min                        = 1200
|stat2_max                        = 1200
|tags                             = damage, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
