{{Mod
|id                               = SocketedWarcryCooldownCountUnique__1
|mod_groups                       = SocketedWarcryCooldownCount
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportWarcryCooldownCount
|mod_type                         = SocketedWarcryCooldownCount
|stat_text                        = [[Item socket|Socketed]] Warcry [[Skill|Skills]] have +1 Cooldown Use
|stat1_id                         = local_display_socketed_warcry_skills_cooldown_use_+
|stat1_min                        = 1
|stat1_max                        = 1
}}
