{{Mod
|id                               = MinionGainYourSpellSuppressUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MinionGainYourSpellSuppress
|mod_type                         = MinionGainYourSpellSuppress
|game_mode                        = 0
|stat_text                        = [DNT] Your [[Minion|minions]] gain your chance to Suppress [[Spell Damage]]
|stat1_id                         = minions_gain_your_spell_suppression_chance
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
