{{Mod
|id                               = AddedFireDamageUniqueBelt10
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = FireDamage
|mod_type                         = FireDamage
|game_mode                        = 0
|stat_text                        = Adds (14-16) to (30-32) [[Fire Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_fire_damage
|stat1_min                        = 14
|stat1_max                        = 16
|stat2_id                         = attack_maximum_added_fire_damage
|stat2_min                        = 30
|stat2_max                        = 32
|tags                             = elemental_damage, damage, elemental, fire, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
