{{Mod
|id                               = HellscapeDownsideCannotApplyStun1
|mod_groups                       = CannotStun
|domain                           = 1
|generation_type                  = 25
|required_level                   = 68
|mod_type                         = CannotStun
|stat_text                        = Your [[Hit|Hits]] cannot Stun Enemies
|stat1_id                         = cannot_stun
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = gloves
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
