{{Item
|rarity_id                               = normal
|name                                    = Blazing Fragment
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Constellations are systematically incinerated <br>in the wake of an ever-expanding archive of minds.
|drop_level                              = 84
|tags                                    = default
|metadata_id                             = Metadata/Items/MapFragments/CurrencyUberBossKeyExarch
|help_text                               = Use five of these in a personal Map Device to open Portals to The Absence of Patience and Wisdom. Can only be used once.
|stack_size                              = 1
|description                             = The Absence of Patience and Wisdom is level 85<br>The Searing Exarch's full power is unleashed in The Absence of Patience and Wisdom
|stack_size_currency_tab                 = 5000
}}
