{{Mod
|id                               = AbyssSpellAddedPhysicalDamageJewel4
|mod_groups                       = SpellAddedPhysicalSuffix
|domain                           = 13
|generation_type                  = 2
|required_level                   = 65
|name                             = of Impact
|mod_type                         = SpellAddedPhysicalSuffix
|stat_text                        = Adds (11-13) to (14-16) [[Physical Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_physical_damage
|stat1_min                        = 11
|stat1_max                        = 13
|stat2_id                         = spell_maximum_added_physical_damage
|stat2_min                        = 14
|stat2_max                        = 16
|spawn_weight1_tag                = abyss_jewel_caster
|spawn_weight1_value              = 350
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical_damage, caster_damage, damage, physical, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
