{{Item
|rarity_id                               = normal
|name                                    = Rebirth
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = He shattered Her smile<br>Scattered the fragments like ash<br>All she did was laugh
|drop_level                              = 23
|tags                                    = weapon_divination, unique_divination, unique_weapon_divination, boss_drop_card, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardRebirth
|stack_size                              = 27
|description                             = {{c|unique|{{il|html=|Charan's Sword}}}}
|stack_size_currency_tab                 = 5000
}}
