{{Mod
|id                               = MonsterAlwaysHits
|mod_groups                       = AlwaysHits
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AlwaysHitsGlobal
|stat_text                        = Your [[Hit|hits]] can't be Evaded (Hidden)
|stat1_id                         = global_always_hit
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
