{{Passive skill
|id                                  = affliction_notable_disease_vector
|int_id                              = 57141
|name                                = Disease Vector
|is_notable                          = True
|icon                                = DaggerandClawDamage
|stat1_id                            = posion_damage_over_time_multiplier_+%_while_wielding_claws_daggers
|stat1_value                         = 6
|stat2_id                            = enemies_poisoned_by_you_cannot_regen_life
|stat2_value                         = 1
|stat_text                           = +6% to Damage over Time Multiplier for [[Poison]] while wielding a [[Claw]] or [[Dagger]]<br>Enemies [[Poison|Poisoned]] by you cannot Regenerate [[Life]]
}}
