{{Passive skill
|id                                  = AscendancyCustomRaider8
|int_id                              = 18806
|name                                = Fearful Symmetry
|ascendancy_class                    = Warden
|is_notable                          = True
|icon                                = BestiaryNotable4 (AtlasTrees)
|stat1_id                            = gain_maximum_frenzy_and_power_charges_when_you_gain_cats_stealth
|stat1_value                         = 1
|stat2_id                            = max_power_charges
|stat2_value                         = 1
|stat3_id                            = max_frenzy_charges
|stat3_value                         = 1
|stat_text                           = Gain up to your maximum number of [[Frenzy]] and [[Power Charge|Power Charges]] when you gain Cat's Stealth<br>+1 to Maximum [[Power Charge|Power Charges]]<br>+1 to Maximum [[Frenzy Charge|Frenzy Charges]]
}}
