{{Mod
|id                               = SanctumSpecialAddedLightningDamage
|mod_groups                       = LightningDamage
|domain                           = 32
|generation_type                  = 1
|required_level                   = 75
|name                             = Electrocuting
|mod_type                         = LightningDamage
|stat_text                        = Adds (2-4) to (32-35) [[Lightning Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_lightning_damage
|stat1_min                        = 2
|stat1_max                        = 4
|stat2_id                         = attack_maximum_added_lightning_damage
|stat2_min                        = 32
|stat2_max                        = 35
|spawn_weight1_tag                = dex_special_relic
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 250
|tags                             = elemental_damage, damage, elemental, lightning, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
