{{Passive skill
|id                                  = two_handed_weapon_damage_and_accuracy9
|int_id                              = 27140
|name                                = Two Handed Melee Damage and Leech
|icon                                = accuracy2h
|stat1_id                            = two_handed_melee_physical_damage_+%
|stat1_value                         = 12
|stat2_id                            = two_handed_melee_weapon_ailment_damage_+%
|stat2_value                         = 12
|stat3_id                            = life_leech_from_physical_attack_damage_permyriad
|stat3_value                         = 80
|stat_text                           = 12% increased [[Physical Damage]] with [[Two Handed Melee Weapons]]<br>[[Attack|Attacks]] with [[Two Handed Melee Weapons]] deal 12% increased Damage with Ailments<br>0.8% of Physical [[Attack Damage]] Leeched as [[Life]]
|connections                         = two_hand_damage_notable1733,two_handed_weapon_damage13
}}
