{{Passive skill
|id                                  = attack_mana_cost_notable_2913
|int_id                              = 13935
|name                                = Thrill of Battle
|is_notable                          = True
|icon                                = ReducedManaNotable
|stat1_id                            = attack_mana_cost_+%
|stat1_value                         = -15
|stat2_id                            = mana_gain_per_target
|stat2_value                         = 2
|stat_text                           = 15% reduced [[Mana]] Cost of [[Attack|Attacks]]<br>Gain 2 [[Mana]] per Enemy [[Hit]] with [[Attack|Attacks]]
|connections                         = mastery_mana_286,attack_mana_cost_node_2911,attack_mana_cost_node_2912,mastery_mana_286
}}
