{{Mod
|id                               = IncreasedDamageToChilledEnemies1
|mod_groups                       = IncreasedDamageToChilledEnemies
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = IncreasedDamageToChilledEnemies
|stat_text                        = (15-20)% increased Damage with [[Hit|Hits]] against Chilled Enemies
|stat1_id                         = damage_+%_vs_chilled_enemies
|stat1_min                        = 15
|stat1_max                        = 20
|tags                             = damage
}}
