{{Mod
|id                               = MinionPhysicalConvertToColdUnique__1
|mod_groups                       = MinionPhysicalConvertToCold
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionPhysicalConvertToCold
|stat_text                        = [[Minion|Minions]] convert 50% of [[Physical Damage]] to [[Cold Damage]]
|stat1_id                         = minion_base_physical_damage_%_to_convert_to_cold
|stat1_min                        = 50
|stat1_max                        = 50
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
