{{Mod
|id                               = FireAndColdResistUnique__1
|mod_groups                       = FireAndColdResistance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 75
|mod_type                         = FireAndColdResistance
|stat_text                        = +(15-25)% to Fire and [[Cold Resistance|Cold Resistances]]
|stat1_id                         = fire_and_cold_damage_resistance_%
|stat1_min                        = 15
|stat1_max                        = 25
|tags                             = elemental, fire, cold, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
