{{Mod
|id                               = MinionDamageOnWeaponEssence6
|mod_groups                       = WeaponCasterDamagePrefix
|domain                           = 1
|generation_type                  = 1
|required_level                   = 74
|name                             = Essences
|mod_type                         = MinionDamageOnWeapon
|stat_text                        = [[Minion|Minions]] deal (67-82)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 67
|stat1_max                        = 82
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
