{{Mod
|id                               = AllSocketsAreWhiteUniqueShieldStrDex7_
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AllSocketsAreWhite
|mod_type                         = AllSocketsAreWhite
|game_mode                        = 0
|stat_text                        = All [[Item socket|Sockets]] are White
|stat1_id                         = local_all_sockets_are_white
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
