{{Mod
|id                               = EinharMasterSpellAddedFireDamage3
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 68
|name                             = Upgraded
|mod_type                         = SpellAddedFireDamage
|stat_text                        = Adds (31-41) to (61-71) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 31
|stat1_max                        = 41
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 61
|stat2_max                        = 71
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
