{{Mod
|id                               = JunMasterVeiledBannerEffect
|mod_groups                       = BannerEffect
|domain                           = 28
|generation_type                  = 1
|required_level                   = 60
|name                             = Gravicius'
|mod_type                         = BannerEffect
|stat_text                        = Banner [[Skill|Skills]] have (26-35)% increased Aura Effect
|stat1_id                         = banner_aura_effect_+%
|stat1_min                        = 26
|stat1_max                        = 35
|spawn_weight1_tag                = body_armour
|spawn_weight1_value              = 2000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = unveiled_mod, aura
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
