{{Mod
|id                               = FasterPoisonDamageTwoHandInfluence2
|mod_groups                       = FasterDamageAilments
|domain                           = 1
|generation_type                  = 2
|required_level                   = 73
|name                             = of the Hunt
|mod_type                         = FasterPoisonDamage
|stat_text                        = [[Poison|Poisons]] you inflict deal Damage (22-25)% faster
|stat1_id                         = faster_poison_%
|stat1_min                        = 22
|stat1_max                        = 25
|spawn_weight1_tag                = 2h_sword_basilisk
|spawn_weight1_value              = 500
|spawn_weight2_tag                = bow_basilisk
|spawn_weight2_value              = 500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = chaos_damage, poison, damage, chaos, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
