{{Mod
|id                               = MaximumVoidArrowsUnique__1
|mod_groups                       = MaximumVoidArrows
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_buff_id                  = gain_void_arrows
|granted_buff_value               = 0
|mod_type                         = MaximumVoidArrows
|stat_text                        = 5 Maximum Void [[Charge|Charges]]<br>Gain a Void [[Charge]] every 0.5 seconds
|stat1_id                         = maximum_void_arrows
|stat1_min                        = 5
|stat1_max                        = 5
|stat2_id                         = grant_void_arrow_every_x_ms
|stat2_min                        = 500
|stat2_max                        = 500
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
