{{Base item
|rarity_id                               = normal
|name                                    = The Conduit
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The path to godhood is guided by the hand of sacrifice.
|drop_level                              = 52
|tags                                    = armour_divination, unique_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheConduit
|stack_size                              = 9
|description                             = {{c|unique|{{il|html=|Doryani's Fist}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
