{{Mod
|id                               = BetrayalUpgradeMonsterHinderOnHit_
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = HinderOnHit
|mod_type                         = SpellsHinderOnHitChance
|game_mode                        = 0
|stat_text                        = Hinder Enemies on [[Hit]] with [[Spell|Spells]] (Hidden)
|stat1_id                         = spells_chance_to_hinder_on_hit_%
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
