{{Mod
|id                               = UnarmedMoreMeleeAttackSpeedUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 97
|mod_groups                       = IncreasedAttackSpeed
|mod_type                         = UnarmedMoreMeleeAttackSpeed
|game_mode                        = 0
|stat_text                        = (1-7)% more [[Attack Speed]] with Unarmed Melee [[Attack|Attacks]]
|stat1_id                         = unique_body_armour_unarmed_melee_attack_speed_+%_final
|stat1_min                        = 1
|stat1_max                        = 7
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
