{{Passive skill
|id                                  = affliction_notable_explosive_force_
|int_id                              = 33002
|name                                = Explosive Force
|is_notable                          = True
|icon                                = WandDamage
|stat1_id                            = wand_physical_damage_%_to_add_as_chaos
|stat1_value                         = 10
|stat2_id                            = enemies_explode_on_death_by_wand_hit_for_25%_life_as_chaos_damage_%_chance
|stat2_value                         = 10
|stat_text                           = Gain 10% of [[Axe|Wand]] [[Physical Damage]] as Extra [[Chaos Damage]]<br>Enemies Killed with [[Axe|Wand]] [[Hit|Hits]] have a 10% chance to Explode, dealing a quarter of their [[Life]] as [[Chaos Damage]]
}}
