{{Mod
|id                               = SynthesisImplicitAllResist3
|domain                           = 1
|generation_type                  = 3
|required_level                   = 36
|mod_groups                       = AllResistances
|mod_type                         = AllResistances
|game_mode                        = 0
|stat_text                        = +(7-8)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 7
|stat1_max                        = 8
|tags                             = elemental, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
