{{Mod
|id                               = WeaponTreeSupportFasterProjectiles2H
|domain                           = 1
|generation_type                  = 31
|required_level                   = 38
|mod_groups                       = WeaponTreeSupportFasterProjectiles
|granted_skill                    = SupportFasterProjectiles
|mod_type                         = WeaponTreeSupportFasterProjectiles
|game_mode                        = 1
|stat_text                        = [[Item socket|Socketed]] Gems are supported by [[Faster Projectiles Support|Level 10 Faster Projectiles]]
|stat1_id                         = local_display_socketed_gems_get_faster_projectiles_level
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
