{{Passive skill
|id                                  = atlas_keystone_sirus
|int_id                              = 4088
|name                                = The Perfect Storm
|flavour_text                        = Agony born of ennui. Hate born of love.
|is_keystone                         = True
|is_atlas_passive                    = True
|icon                                = SirusKeystone
|stat1_id                            = atlas_keystone_uber_sirus
|stat1_value                         = 1
|stat2_id                            = sirus_boss_map_monster_damage_taken_+%_final
|stat2_value                         = -70
|stat3_id                            = sirus_additional_awakened_gem_drop_chance_%
|stat3_value                         = 20
|stat_text                           = The Eye of the Storm is [[Level|level]] 85<br />Sirus' full power is unleashed in The Eye of the Storm<br>Sirus has 20% chance to drop an Awakened Support Gem
}}
