{{Passive skill
|id                                  = AscendancyGuardian9
|int_id                              = 20050
|name                                = Armour and Energy Shield, Aura Effect
|ascendancy_class                    = Guardian
|icon                                = ArmourEnergyShieldManaPool (Guardian)
|stat1_id                            = physical_damage_reduction_rating_+%
|stat1_value                         = 14
|stat2_id                            = maximum_energy_shield_+%
|stat2_value                         = 5
|stat3_id                            = non_curse_aura_effect_+%
|stat3_value                         = 5
|stat_text                           = 14% increased [[Armour]]<br>5% increased maximum [[Energy Shield]]<br>5% increased effect of Non-Curse Auras from your [[Skill|Skills]]
|connections                         = AscendancyGuardian12,AscendancyGuardian3
}}
