{{Item
|rarity_id                               = normal
|name                                    = The Devastator
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Only a fool tries to contain unlimited power.
|drop_level                              = 80
|tags                                    = weapon_divination, boss_drop_card, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheDevastator
|stack_size                              = 8
|description                             = {{c|unique|{{il|html=|Atziri's Disfavour}}}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
}}
