{{Passive skill
|id                                  = rage_notable2111
|int_id                              = 22706
|name                                = Savage Intensity
|is_notable                          = True
|icon                                = RageNotable2
|stat1_id                            = attack_cost_+%_if_you_have_at_least_20_rage
|stat1_value                         = -20
|stat2_id                            = rage_decay_speed_+%
|stat2_value                         = -20
|stat_text                           = 20% reduced Cost of [[Attack|Attacks]] while you have at least 20 Rage<br>Inherent loss of Rage is 20% slower
|connections                         = mastery_rage280,rage2110
}}
