{{Mod
|id                               = TreatResistancesAsMaxChanceUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AllResistances
|mod_type                         = TreatResistancesAsMaxChance
|game_mode                        = 0
|stat_text                        = (30-40)% chance for [[Elemental Resistance|Elemental Resistances]] to count as being 90% against Enemy [[Hit|Hits]]
|stat1_id                         = enemy_hits_%_chance_to_treat_elemental_resistances_as_90%
|stat1_min                        = 30
|stat1_max                        = 40
|tags                             = elemental, resistance
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
