{{Mod
|id                               = StrIntMasterAddedChaosDamageCrafted
|mod_groups                       = ChaosDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 30
|name                             = Corrupting
|mod_type                         = ChaosDamage
|stat_text                        = Adds (8-11) to (18-23) [[Chaos Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_chaos_damage
|stat1_min                        = 8
|stat1_max                        = 11
|stat2_id                         = attack_maximum_added_chaos_damage
|stat2_min                        = 18
|stat2_max                        = 23
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = chaos_damage, damage, chaos, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
