{{Passive skill
|id                                  = AscendancyAscendant44
|int_id                              = 42144
|name                                = Hierophant
|reminder_text                       = (You can only take one of the three Templar Ascendancy passives)<br>(Arcane Surge grants 10% increased Cast Speed and 30% increased Mana Regeneration rate, for 4 seconds)
|ascendancy_class                    = Ascendant
|is_multiple_choice_option           = True
|icon                                = Hierophant (Ascendants)
|stat1_id                            = base_damage_removed_from_mana_before_life_%
|stat1_value                         = 8
|stat2_id                            = number_of_additional_totems_allowed
|stat2_value                         = 1
|stat3_id                            = maximum_mana_+%
|stat3_value                         = 25
|stat4_id                            = gain_arcane_surge_on_spell_hit_by_you_or_your_totems
|stat4_value                         = 1
|stat5_id                            = arcane_surge_on_you_spell_damage_+%_final_from_hierophant
|stat5_value                         = 10
|stat_text                           = 8% of Damage is taken from [[Mana]] before [[Life]]<br>+1 to maximum number of Summoned [[Totem|Totems]]<br>25% increased maximum [[Mana]]<br>Gain Arcane Surge when you or your [[Totem|Totems]] [[Hit]] an Enemy with a [[Spell]]<br>Arcane Surge grants 10% more [[Spell Damage]] to you
|connections                         = AscendancyAscendant29
}}
