{{Mod
|id                               = V2ElementalPenetrationJewelCorrupted_
|mod_groups                       = ElementalPenetration
|domain                           = 10
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = ElementalPenetration
|stat_text                        = Damage Penetrates 1% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = reduce_enemy_elemental_resistance_%
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = jewel
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, damage, elemental
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
