{{Mod
|id                               = SupportedByAreaOfEffectCorrupted_
|mod_groups                       = DisplaySocketedGemGetsIncreasedAreaOfEffectLevel
|domain                           = 1
|generation_type                  = 5
|required_level                   = 24
|granted_skill                    = SupportIncreasedAreaOfEffect
|mod_type                         = DisplaySocketedGemGetsIncreasedAreaOfEffectLevel
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Increased Area of Effect Support|Level 1 Increased Area of Effect]]
|stat1_id                         = local_display_socketed_gems_get_increased_area_level
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = staff
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
