{{Passive skill
|id                                  = dual_wield_cast_speed2300
|int_id                              = 6616
|name                                = Dual Wield Cast Speed and Movement Skill Cooldown Recovery
|icon                                = DualWieldNodeOffensive
|stat1_id                            = cast_speed_while_dual_wielding_+%
|stat1_value                         = 3
|stat2_id                            = movement_skills_cooldown_speed_+%
|stat2_value                         = 15
|stat_text                           = 3% increased [[Cast Speed]] while [[Dual Wield|Dual Wielding]]<br>15% increased Cooldown Recovery Rate of Movement [[Skill|Skills]]
|connections                         = dual_wield_cast_speed2301,dual_wield_cast_speed2301,dual_wield_cast_speed_notable2304
}}
