{{Mod
|id                               = CannotBeFrozenOrChilledUnique__2
|mod_groups                       = CannotBeChilledOrFrozen
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = CannotBeChilledOrFrozen
|stat_text                        = Cannot be Chilled<br>Cannot be [[Freeze|Frozen]]
|stat1_id                         = base_cannot_be_chilled
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = base_cannot_be_frozen
|stat2_min                        = 1
|stat2_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
