{{Mod
|id                               = LocalVaalUsesToStoreUnique__1
|mod_groups                       = LocalVaalUsesToStore
|domain                           = 1
|generation_type                  = 3
|required_level                   = 80
|granted_skill                    = UniqueSupportLocalVaalChanceToRefundSouls
|mod_type                         = LocalVaalUsesToStore
|stat_text                        = [[Item socket|Socketed]] Vaal [[Skill|Skills]] have 20% chance to regain consumed Souls when used
|stat1_id                         = local_display_socketed_vaal_skills_store_uses_+
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
