{{Mod
|id                               = FlasksApplyToMinionsUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = FlasksApplyToMinions
|mod_type                         = FlasksApplyToMinions
|game_mode                        = 0
|stat_text                        = [[Flask|Flasks]] you Use apply to your Raised Zombies and Spectres
|stat1_id                         = flasks_apply_to_your_zombies_and_spectres
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = flask, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
