{{Mod
|id                               = ChanceToAvoidFreezeEssence5
|mod_groups                       = ChanceToAvoidFreezeAndChill
|domain                           = 1
|generation_type                  = 2
|required_level                   = 1
|name                             = of the Essence
|mod_type                         = ChanceToAvoidFreezeAndChill
|stat_text                        = (47-50)% chance to Avoid being [[Freeze|Frozen]]
|stat1_id                         = base_avoid_freeze_%
|stat1_min                        = 47
|stat1_max                        = 50
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
