{{Mod
|id                               = SupportedBySpellCascadeAreaUber2
|domain                           = 1
|generation_type                  = 2
|required_level                   = 75
|name                             = of Shaping
|mod_groups                       = SupportedByAreaProjectile
|granted_skill                    = SupportSpellCascade
|mod_type                         = SupportedBySpellCascadeArea
|game_mode                        = 0
|stat_text                        = (9-12)% increased Area of Effect<br>[[Item socket|Socketed]] Gems are Supported by [[Level]] 18 [[Spell]] Cascade
|stat1_id                         = base_skill_area_of_effect_+%
|stat1_min                        = 9
|stat1_max                        = 12
|stat2_id                         = local_display_socketed_gems_supported_by_level_x_spell_cascade
|stat2_min                        = 18
|stat2_max                        = 18
|spawn_weight1_tag                = sceptre_shaper
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = rune_dagger_shaper
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = wand_shaper
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = support, influence_mod, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
