{{Mod
|id                               = EnemyHitsRollLowDamageUniqueRing9
|mod_groups                       = EnemyHitsRollLowDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = EnemyHitsRollLowDamage
|stat_text                        = Enemy [[Hit|hits]] on you roll low Damage
|stat1_id                         = enemy_hits_roll_low_damage
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
