{{Mod
|id                               = UniqueTreeWeaponTreeSupportBonechill
|mod_groups                       = WeaponTreeSupportBonechill
|domain                           = 1
|generation_type                  = 31
|required_level                   = 1
|granted_skill                    = SupportBonechill
|mod_type                         = WeaponTreeSupportBonechill
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 30 Bonechill
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_bonechill
|stat1_min                        = 30
|stat1_max                        = 30
|spawn_weight1_tag                = crucible_unique_staff
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
