{{Mod
|id                               = ManaReservationEfficiencyEssence6_
|mod_groups                       = ReducedManaReservationsCost
|domain                           = 1
|generation_type                  = 2
|required_level                   = 74
|name                             = of the Essence
|mod_type                         = ManaReservationEfficiency
|stat_text                        = (7-8)% increased [[Mana Reservation]] Efficiency of [[Skill|Skills]]
|stat1_id                         = base_mana_reservation_efficiency_+%
|stat1_min                        = 7
|stat1_max                        = 8
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
