{{Passive skill
|id                                  = AscendancyGladiator10
|int_id                              = 8419
|name                                = Determined Survivor
|ascendancy_class                    = Gladiator
|is_notable                          = True
|icon                                = GLADPainForged (Gladiator)
|stat1_id                            = dual_wield_inherent_bonuses_are_doubled
|stat1_value                         = 1
|stat2_id                            = block_chance_from_equipped_shield_is_%
|stat2_value                         = 50
|stat_text                           = Inherent Bonuses from [[Dual Wield|Dual Wielding]] are doubled<br>Gain 50% Chance to [[Block]] from Equipped [[Shield]] instead of the [[Shield]]'s value
|connections                         = AscendancyGladiator5,AscendancyGladiator5,AscendancyGladiator6
}}
