{{Passive skill
|id                                  = AscendancyChieftan14
|int_id                              = 61355
|name                                = Ramako, Sun's Light
|buff_id                             = nearby_enemies_have_no_fire_resistance_vs_dot_while_stationary
|ascendancy_class                    = Chieftain
|is_notable                          = True
|icon                                = RamakoSunsLight (Chieftain)
|stat_text                           = Nearby Enemy Monsters' [[Fire Resistance]] against<br />Damage over Time is -20% while you are Stationary
|stat1_id                            = nearby_enemies_fire_dot_resistance_is_%_while_you_are_stationary
|stat1_value                         = -20
|stat2_id                            = nearby_enemies_no_fire_dot_resistance_while_you_are_stationary
|stat2_value                         = 0
|connections                         = AscendancyChieftan17
}}
