{{Mod
|id                               = MapUberModChain
|domain                           = 5
|generation_type                  = 1
|required_level                   = 1
|name                             = Chaining
|mod_groups                       = MabUberModChaining
|mod_type                         = MapUberModChaining
|game_mode                        = 0
|stat_text                        = Monsters' [[Skill|skills]] Chain 3 additional times<br>Monsters' Projectiles can Chain when colliding with Terrain<br>7% increased Pack size<br>45% increased Rarity of Items found in this Area<br>24% increased Quantity of Items found in this Area
|stat1_id                         = map_monster_skills_chain_X_additional_times
|stat1_min                        = 3
|stat1_max                        = 3
|stat2_id                         = map_monster_projectile_chain_from_terrain_chance_%
|stat2_min                        = 100
|stat2_max                        = 100
|stat3_id                         = map_pack_size_+%
|stat3_min                        = 7
|stat3_max                        = 7
|stat4_id                         = map_item_drop_rarity_+%
|stat4_min                        = 45
|stat4_max                        = 45
|stat5_id                         = map_item_drop_quantity_+%
|stat5_min                        = 24
|stat5_max                        = 24
|spawn_weight1_tag                = uber_tier_map
|spawn_weight1_value              = 50
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
