{{Base item
|rarity_id                               = normal
|name                                    = The One With All
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Embrace death to honour the lost,<br>no fear in life no matter the cost. <br>With one of all we are, <br>and all of one we trust, <br>throughout past, present and future... be just.
|drop_level                              = 23
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, unique_corrupted_divination, corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheOneWithAll
|stack_size                              = 6
|description                             = {{c|unique|{{il|html=|Le Heup of All}}}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
