{{Mod
|id                               = MinionFlaskChargesUsedUnique__1
|mod_groups                       = FlaskChargesUsed
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionFlaskChargesUsed
|stat_text                        = [[Minion|Minions]] have (40-25)% reduced Flask [[Charge|Charges]] used
|stat1_id                         = minion_flask_charges_used_+%
|stat1_min                        = -40
|stat1_max                        = -25
|tags                             = flask, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
