{{Mod
|id                               = V2LevelOfSocketedFireGemsCorrupted
|mod_groups                       = IncreaseSocketedFireGemLevel
|domain                           = 1
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = LocalIncreaseSocketedFireGemLevelCorrupted
|stat_text                        = +2 to [[Level]] of [[Item socket|Socketed]] Fire Gems
|stat1_id                         = local_socketed_fire_gem_level_+
|stat1_min                        = 2
|stat1_max                        = 2
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental, fire, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
