{{Passive skill
|id                                  = affliction_notable_numbing_elixir
|int_id                              = 62707
|name                                = Numbing Elixir
|is_notable                          = True
|icon                                = LifeManaFlasksrecovery
|stat1_id                            = curse_effect_on_self_+%_while_under_effect_of_life_or_mana_flask
|stat1_value                         = -40
|stat2_id                            = non_damaging_ailment_effect_+%_on_self_while_under_effect_of_life_or_mana_flask
|stat2_value                         = -40
|stat_text                           = 40% reduced Effect of [[Curse|Curses]] on you during Effect of any [[Mana]] Flask<br>40% reduced Effect of Non-Damaging Ailments on you during Effect of any [[Life]] Flask
}}
