{{Mod
|id                               = ColdAndLightningResistUnique__1
|mod_groups                       = ColdAndLightningResistance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 81
|mod_type                         = ColdAndLightningResistance
|stat_text                        = +(20-25)% to Cold and [[Lightning Resistance|Lightning Resistances]]
|stat1_id                         = cold_and_lightning_damage_resistance_%
|stat1_min                        = 20
|stat1_max                        = 25
|tags                             = elemental, cold, lightning, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
