{{Mod
|id                               = MapTotemsStrMission_
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MapTotemsStrMission
|mod_type                         = MapTotemsStrMission
|game_mode                        = 0
|stat_text                        = Area has Damaging [[Totem|Totems]]
|stat1_id                         = map_packs_are_str_mission_totems
|stat1_min                        = 1
|stat1_max                        = 1
}}
